"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:38:20.069862","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:20.624621","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:21.163857","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:21.689363","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:22.243255","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:22.788507","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:23.304605","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:23.844425","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:24.394914","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:24.966005","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:25.535210","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:26.069925","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:26.586458","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:27.146294","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:27.669111","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:28.229035","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:28.767203","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:29.326296","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:29.865593","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:30.395602","USDT-USDC","No change","No tweet","None"
