"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 14:58:17.175253","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:17.731151","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:18.329968","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:19.913961","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:20.451075","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:23.268471","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:23.758562","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:24.296586","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:24.836008","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:25.423650","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:25.935205","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:26.509014","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:27.018243","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:27.600622","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:28.104514","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:28.665067","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:29.237475","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:29.790615","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:30.331249","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:30.902976","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:31.436543","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:31.977508","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:32.550549","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:33.077445","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:33.599457","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:34.219182","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:35.055054","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:35.620401","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:36.168040","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:36.676023","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:37.178054","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:37.697720","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:38.212836","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:38.781623","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:39.942029","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:40.724911","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:41.270619","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:41.870305","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:42.361234","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:42.880077","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:44.037289","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:44.530278","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:45.084579","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:45.609668","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:46.175094","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:46.702650","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:47.970789","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:49.623598","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:50.145283","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:52.944580","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:53.447052","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:53.947531","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:54.492476","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:55.006195","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:55.573153","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:56.150829","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:56.659596","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:57.200073","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:57.781144","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:58.309926","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:58.907034","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:58:59.448945","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:58:59.952440","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:00.531598","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:01.066906","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:01.579408","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:02.118496","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:02.615347","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:03.258584","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:04.004400","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:04.511881","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:05.058218","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:05.769046","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:06.339934","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:06.879350","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:07.429446","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:07.992912","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:08.706104","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:09.260023","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:10.143599","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:10.695323","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:11.222889","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:11.731380","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:12.215138","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:12.703217","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:13.659074","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:14.310033","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:14.869338","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:15.414354","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:15.954970","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:16.520563","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:17.020697","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:17.605627","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:18.219727","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:18.752440","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:19.307723","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:19.818356","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:20.338288","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:20.886995","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:21.370632","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:21.870911","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:22.420786","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:22.927703","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:23.472740","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:24.019283","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:24.534941","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:25.039635","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:25.584984","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:26.140682","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:26.661789","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:27.186474","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:27.748224","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:28.266972","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:28.785002","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:29.333908","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:29.835960","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:30.332429","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:30.860077","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:31.353781","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:31.867059","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:32.365049","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:32.898848","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:33.423496","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:33.967076","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:34.484469","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:35.051119","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:35.635322","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:36.136280","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:36.671589","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:37.189557","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:37.749967","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:38.306761","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:38.812919","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:39.320553","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:39.865949","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:40.427004","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:41.020918","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:41.555093","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:42.086987","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:42.606549","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:43.131822","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:43.663355","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:44.195034","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:44.713816","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:45.284763","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:45.806347","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:46.334789","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:46.848741","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:59:47.371054","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:59:47.920842","USDT-USDC","No change","No tweet","None"
