"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:40:43.641916","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:44.188843","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:44.698622","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:45.197543","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:45.691885","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:46.256364","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:46.773803","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:47.282737","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:47.846176","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:48.386939","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:48.930024","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:49.490513","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:50.040589","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:50.537023","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:51.085941","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:51.671413","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:52.211927","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:52.749637","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:53.297435","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:53.822280","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:54.331715","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:54.833435","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:55.381042","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:55.921852","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:56.474856","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:57.025036","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:57.557428","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:58.080243","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:58.658262","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:40:59.206309","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:40:59.794736","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:00.304900","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:00.854796","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:01.394764","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:01.925585","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:02.497547","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:03.020574","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:03.554155","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:04.097711","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:04.658400","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:05.181446","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:05.724828","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:06.260510","COMP-USDC","No change","No tweet","None"
