"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:41:29.551917","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:30.134026","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:30.651704","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:31.212586","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:31.788419","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:32.312558","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:32.876273","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:33.514361","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:34.085397","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:34.624323","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:35.181930","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:35.715463","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:36.283085","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:36.835041","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:37.379410","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:37.967222","USDT-USDC","No change","No tweet","None"
