"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:41:57.078203","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:57.616775","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:58.173733","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:58.698331","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:41:59.271282","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:41:59.820322","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:00.358901","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:00.912233","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:01.458605","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:02.011687","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:02.590006","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:03.151416","USDT-USDC","No change","No tweet","None"
