"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 11:12:49.951078","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:50.536071","WBTC-USDC","Change Detected","Tweeted","PRICE ADVANTAGE DETECTED FOR WBTC-USDC!
0.217% better price for DODO
chainlink price: 60677.07490624
dodo price: 60545.34557529
timestamp: 2021-04-10 11:06:57"
"2021-04-10 11:12:51.009169","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:12:51.485549","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:51.996274","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:12:52.509507","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:12:53.032806","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:53.569278","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:12:54.136329","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:12:54.656110","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:55.137744","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:12:55.615809","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:12:56.126902","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:56.619614","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:12:57.101410","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:12:57.628382","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:58.140042","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:12:58.622534","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:12:59.121206","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:12:59.637685","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:00.106256","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:00.571532","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:01.074684","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:01.612238","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:02.122503","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:02.826698","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:03.476081","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:04.069864","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:04.722027","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:05.350011","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:05.871979","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:06.455963","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:07.000068","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:07.522287","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:08.049197","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:08.618084","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:09.155979","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:09.682431","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:10.220670","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:10.735900","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:11.233594","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:11.736415","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:12.277351","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:12.793439","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:13.287324","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:13.850551","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:14.382890","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:14.914814","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:15.444764","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:15.979412","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:16.521436","USDT-USDC","No change","No tweet","None"
"2021-04-10 11:13:16.995034","COMP-USDC","No change","No tweet","None"
"2021-04-10 11:13:17.492166","WBTC-USDC","No change","No tweet","None"
"2021-04-10 11:13:17.994058","USDT-USDC","No change","No tweet","None"
