"Timestamp","Currency Pair","Change Status","Tweet status"
"2021-04-11 00:24:21.824548","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.826547","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.827548","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.829546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.830547","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.832548","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.832548","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.834549","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.835550","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.837546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.838547","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.840546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.841546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.841546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.842546","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.843546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.845546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.846546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.847548","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.849548","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.851550","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.852549","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.854545","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.854545","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.855550","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.855550","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.857545","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.859546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.860546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.861546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.863547","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.865546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.866549","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.868547","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.869547","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.870548","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.872546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.874548","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.875549","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.877545","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.878546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.879548","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.881549","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.884550","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.886547","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.887547","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.888547","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.889547","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.891546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.892546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.894544","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.895546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.896546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.897545","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.899547","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.901549","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.903548","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.904545","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.905546","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.906546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.908548","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.909545","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.910546","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.912545","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.913548","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.914546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.916547","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.918548","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.920546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.921546","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.923546","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.925545","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.926546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.927545","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.928545","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.929545","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.931547","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.933547","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.935548","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.936546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.937546","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.939547","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.940546","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.941545","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.943547","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.944549","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.945548","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.946546","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.948984","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.952579","COMP-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.954508","WBTC-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.956293","USDT-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.957369","WETH-USDC","ERROR","ERROR"
"2021-04-11 00:24:21.958446","COMP-USDC","ERROR","ERROR"
