"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:38:52.019098","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:52.543124","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:53.080914","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:53.604365","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:54.129576","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:54.677169","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:55.219970","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:55.788630","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:56.397089","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:57.000916","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:57.577630","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:58.178448","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:58.727574","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:38:59.265372","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:38:59.773609","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:00.317962","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:00.844514","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:01.394120","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:01.906647","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:02.473195","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:02.993384","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:03.581194","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:04.152680","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:04.662498","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:05.159205","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:05.680096","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:06.234219","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:06.781990","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:07.384805","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:07.914299","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:08.492004","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:09.059406","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:09.590487","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:10.137295","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:10.715221","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:11.268246","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:11.824212","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:12.380994","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:12.975762","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:13.531708","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:14.098610","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:14.638476","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:15.202523","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:15.729434","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:16.270358","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:16.800657","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:17.317826","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:17.838842","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:18.363337","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:18.948279","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:19.539826","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:20.109513","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:20.649837","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:21.185572","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:21.740448","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:22.274513","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:22.781955","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:23.309287","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:23.863857","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:24.393412","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:24.957724","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:25.495200","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:26.056169","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:26.600990","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:27.128104","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:27.709502","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:28.226148","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:28.764032","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:29.304534","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:39:29.844055","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:39:30.377073","COMP-USDC","No change","No tweet","None"
