"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:37:17.036504","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:17.586351","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:18.115048","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:18.669304","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:19.238730","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:19.808194","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:20.335740","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:20.859856","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:21.424726","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:21.966153","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:22.513211","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:23.053099","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:23.601344","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:24.163079","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:24.684398","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:25.225226","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:25.825518","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:26.420828","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:26.913321","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:27.439553","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:27.965296","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:28.490718","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:29.031480","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:29.612124","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:30.139850","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:30.666469","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:31.211976","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:31.778645","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:32.345083","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:32.906885","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:33.471617","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:34.060755","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:34.568197","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:35.060173","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:35.571991","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:36.109830","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:36.663746","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:37.267814","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:37.858393","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:38.445885","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:38.982437","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:39.522574","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:40.027064","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:40.538357","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:41.038052","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:37:41.592692","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:37:42.178743","COMP-USDC","No change","No tweet","None"
