"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:49:25.804145","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:25.805274","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:26.404030","USDT-USDC","Change Detected","Tweeted","PRICE ADVANTAGE DETECTED FOR USDT-USDC!
0.089% better price for DODO
chainlink price: 1.00029302
dodo price: 0.99940049
Chainlink timestamp: 2021-04-09 14:28:28"
"2021-04-10 12:49:26.927847","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:26.931086","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:27.501027","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:27.502275","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:28.056059","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:28.058055","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:28.639934","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:28.644974","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:29.216645","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:29.217802","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:29.772466","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:29.774972","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:30.337861","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:30.340697","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:30.903070","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:30.904543","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:31.437908","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:31.444459","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:32.051330","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:32.055033","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:32.615597","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:32.617656","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:33.136678","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:33.137003","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:33.647593","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:33.648508","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:34.206049","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:34.207082","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:34.789660","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:34.790812","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:35.354235","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:35.355289","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:35.892700","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:35.893935","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:36.449426","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:36.450668","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:36.996168","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:36.997209","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:37.535986","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:37.538059","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:38.049998","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:38.051233","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:38.589732","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:38.591394","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:39.180236","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:39.181745","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:39.710610","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:39.712116","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:40.228004","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:40.237417","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:40.758629","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:40.762621","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:41.295707","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:41.296703","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:41.816824","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:41.817825","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:42.345775","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:42.349582","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:42.931611","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:42.933472","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:43.494845","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:43.495846","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:44.021327","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:44.023614","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:44.519504","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:44.522573","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:45.051017","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:45.052703","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:45.547184","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:45.549211","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:46.049817","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:46.054797","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:46.648019","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:46.649114","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:47.166145","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:47.167167","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:47.699646","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:47.703659","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:48.224596","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:48.225617","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:48.812070","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:48.813262","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:49.367628","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:49.369482","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:49.965233","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:49.968660","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:50.533339","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:50.535378","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:51.062346","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:51.063428","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:51.560950","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:51.561946","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:52.084149","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:52.091421","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:52.684159","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:52.686159","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:53.249966","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:53.252023","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:53.824058","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:53.827884","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:54.376860","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:49:54.379197","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 12:49:54.910489","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:49:54.912797","USDT-USDC","ERROR","ERROR","ERROR"
