"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:43:08.828848","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:09.392447","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:09.885171","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:10.435631","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:11.000307","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:11.547889","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:12.119280","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:12.646877","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:13.226137","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:13.778738","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:14.336037","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:14.897399","USDT-USDC","No change","No tweet","None"
