"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 14:52:19.491367","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 14:52:20.101131","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 14:52:20.664799","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:21.201314","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:21.728359","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:22.299158","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:22.834199","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:23.390371","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:23.916852","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:24.469657","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:25.026293","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:25.568414","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:26.076641","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:26.636705","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:27.150266","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:27.678661","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:28.199669","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:28.769179","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:29.278195","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:29.834608","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:30.375626","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:30.956078","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:31.529809","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:32.075671","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:32.632994","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:33.168327","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:33.734442","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:34.294407","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:34.858207","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:35.409754","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:35.898100","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:36.432042","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:36.955515","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:37.457781","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:38.000071","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:38.489458","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:38.981780","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:39.539920","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:40.069957","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:40.580306","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:41.104954","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:41.648956","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:42.184511","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:42.712385","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:43.238196","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:43.786611","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:44.323025","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:44.875897","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:45.399673","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:45.930464","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:46.484628","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:47.024205","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:47.578641","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:48.124130","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:52:48.696126","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:52:49.235369","USDT-USDC","No change","No tweet","None"
