"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:33:50.852573","COMP-USDC","Change Detected","Tweeted","PRICE ADVANTAGE DETECTED FOR COMP-USDC!
6.716% better price for DODO
chainlink price: 454.43029212
dodo price: 423.90921600
Chainlink timestamp: 2021-04-10 12:31:23"
"2021-04-10 12:33:51.454935","USDT-USDC","Change Detected","Tweeted","PRICE ADVANTAGE DETECTED FOR USDT-USDC!
0.088% better price for DODO
chainlink price: 1.00029302
dodo price: 0.99941744
Chainlink timestamp: 2021-04-09 14:28:28"
"2021-04-10 12:33:52.009425","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:52.530492","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:53.038069","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:53.545154","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:54.066569","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:54.580035","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:55.118793","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:55.620822","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:56.138687","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:56.678557","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:57.214102","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:57.732181","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:58.249200","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:58.749129","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:33:59.279535","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:33:59.794859","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:34:00.299459","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:34:00.819884","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:34:01.357002","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:34:01.859408","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:34:02.410326","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:34:02.933129","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:34:03.671176","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:34:04.374902","USDT-USDC","No change","No tweet","None"
