"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:51:21.081450","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:21.625020","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:22.117720","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:22.634736","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:23.174952","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:23.713727","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:24.305905","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:24.873286","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:25.449986","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:25.973676","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:26.462887","COMP-USDC","No change","No tweet","None"
