"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 14:49:33.737477","COMP-USDC","ERROR","ERROR","ERROR"
"2021-04-10 14:49:34.351736","USDT-USDC","ERROR","ERROR","ERROR"
"2021-04-10 14:49:34.866485","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:35.448988","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:35.965302","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:36.490839","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:37.016062","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:37.623462","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:38.134713","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:38.648740","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:39.236106","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:39.785231","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:40.333938","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:40.864386","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:41.384724","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:41.983436","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:42.531790","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:43.076268","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:43.649686","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:44.199485","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:44.715435","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:45.232140","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:45.750782","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:46.307602","USDT-USDC","No change","No tweet","None"
"2021-04-10 14:49:46.846404","COMP-USDC","No change","No tweet","None"
"2021-04-10 14:49:47.361450","USDT-USDC","No change","No tweet","None"
