"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:43:37.375691","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:37.948397","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:38.481575","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:38.983517","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:39.476788","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:40.000117","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:40.531767","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:41.163795","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:41.673842","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:42.218555","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:42.781417","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:43.272792","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:43.822538","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:44.329047","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:44.911213","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:45.446797","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:45.994014","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:46.523329","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:47.045546","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:47.600223","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:48.137452","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:48.702064","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:49.231321","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:49.788913","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:50.351094","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:50.865823","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:51.413525","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:51.935878","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:52.484643","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:53.036207","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:53.569703","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:54.093996","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:54.641380","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:55.212127","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:43:55.769200","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:43:56.323381","USDT-USDC","No change","No tweet","None"
