"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:50:34.261931","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:34.807784","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:50:35.308167","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:35.846906","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:50:36.355613","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:36.895082","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:50:37.460541","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:38.011350","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:50:38.557959","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:39.141039","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:50:39.699993","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:40.240812","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:50:40.736396","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:50:41.303355","USDT-USDC","No change","No tweet","None"
