"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:51:45.574900","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:46.150960","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:46.675112","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:47.207138","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:47.693013","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:48.250495","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:48.845152","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:49.396568","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:49.947486","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:50.543015","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:51.100612","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:51.646670","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:52.231263","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:52.741350","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:53.314255","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:53.838524","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:54.383606","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:54.931903","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:55.447456","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:55.989265","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:56.499634","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:57.067993","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:57.607151","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:51:58.183709","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:51:58.746919","COMP-USDC","No change","No tweet","None"
